field_number,collector,species,locality,altitude,date,notes
NA,NA,NA,"Parras, Coahuila, Mexico",1600m,10/9/1971,together with REP454-456a
NA,NA,NA,"Perote by Parras, Coahuila, Mexico",1600m,13/9/1971,together with REP480-487
NA,NA,NA,"Quatro Cienegas, Coahuila, Mexico",900m,16/9/1971,together with REP493-507 and Mammillaria heyderi
NA,NA,NA,"Quatro Cienegas, Coahuila, Mexico",800m,17/9/1971,"together with REP508-514a, Larrea tridentata, Opuntia cholla, O. kleiniae and Yucca sp."
NA,NA,NA,"Langtry, Texas, USA",NA,NA,NA
NA,NA,NA,"Langtry, Texas, USA",NA,NA,NA
NA,NA,NA,"Alpine, Texas, USA",NA,NA,NA
NA,NA,NA,"West of Terlingua, Brewster, Texas, USA",3400 feet,11/10,NA
NA,NA,NA,"Brewster, Texas, USA",3600 feet,4/92,NA
NA,NA,NA,"San Rafael, Durango, Mexico",NA,NA,NA
NA,NA,NA,"first slope of Paila right from the road, terrace behind Estacion Marte",NA,NA,NA
NA,NA,NA,"Paila, 30.5km from camping in Pareños",NA,NA,NA
NA,NA,NA,"before Ejido Nuevo Yucatan, Paila, Coahuila, Mexico",28/6/04,28/6/04,NA
NA,NA,NA,"Palmas, before Matehuala, San Luis Potosi, Mexico",30/4/93,30/4/93,= CSD107
NA,NA,NA,"Parras, Coahuila, Mexico",= CSD220,= CSD220,= CSD220
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",13/5/93,13/5/93,= CSD245
NA,NA,NA,"km162, direction to Cuatro Ciénegas Coahuila, Mexico",1996,1996,NA
NA,NA,NA,"Rodeo, Durango, Mexico",NA,NA,NA
NA,NA,NA,South-West of Matehuala,NA,NA,NA
NA,NA,NA,"Crockett County, Texas, USA",NA,NA,NA
NA,NA,NA,"Brewster County, Texas, USA",NA,NA,NA
NA,NA,NA,"Cuatro Cienegas, Coahuila, Mexico",NA,NA,NA
NA,NA,NA,"Coyame, Chihuahua, Mexico",1700m,28/4/1974,"together with Escobaria tuberculosa, Echinocereus dasyacanthus"
NA,NA,NA,"4km North of Hot Springs, Texas, USA",NA,NA,NA
NA,NA,NA,"South of Durango, Mexico",1971,1971,NA
NA,NA,NA,"Almost on top of the hill to the South-East of Antiguos Mineras del Norte, Coahuila, Mexico",2001,2001,NA
