field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
LH 28,Ladislav Horáček,thelocactus conothelos,"Tula, Tamaulipas, Mexico",NA,NA,NA,bcss,"Tula, Tamaulipas, Mexico",direct,22.9478816,-99.8055882
LH 343,Ladislav Horáček,thelocactus conothelos v. argenteus,"Sandia Victoria, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Sandia Victoria, Nuevo Leon, Mexico",direct,24.20089,-100.07641
LH 840,Ladislav Horáček,thelocactus conothelos v. argenteus,"Sandia y Victoria, Nuevo León, Mexicó",March 2001,March 2001,NA,bcss,"Sandia y Victoria, Nuevo León, Mexico",direct,24.20089,-100.07641
LRM 298,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos,"Monte Redondo, Tamaulipas, Mexico",2001,2001,NA,bcss,"Monte Redondo, Tamaulipas, Mexico",direct,23.3681934,-99.4755028
LRM 313,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo León, Mexico",2001,2001,NA,bcss,"Aramberri, Nuevo León, Mexico",direct,24.2217256,-99.9241345
LRM 336,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos,"Puente Oregano, San Luis Potosí/Nuevo León, Mexico",2001,2001,NA,bcss,"Puente Oregano, San Luis Potosí/Nuevo León, Mexico",direct,22.137993329,-100.968969571
LRM 449,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos v. argenteus,"St Juan de Aviles, Nuevo León, Mexico",2002,2002,NA,bcss,"St Juan de Aviles, Nuevo León, Mexico",direct,24.1731513,-100.0704162
LRM 81,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",thelocactus conothelos v. aurantiacus,"Marmelejos, Nuevo León, Mexico",1999,1999,NA,bcss,"Marmelejos, Nuevo León, Mexico",direct,24.134801111,-99.784346389
MK 117.378,Miloš Kaplan,thelocactus conothelos v. argenteus-aurantiacus,"Sn. Antonio Pena Nevada, Nuevo Leon, Mexico",intermediate form,intermediate form,intermediate form,bcss,"Sn. Antonio Pena Nevada, Nuevo Leon, Mexico",direct,23.74527,-99.98022
MK 118.383,Miloš Kaplan,thelocactus conothelos v. argenteus,"South-West Ascension, Nuevo Leon, Mexico",long ivory spines,long ivory spines,long ivory spines,bcss,"South-West Ascension, Nuevo Leon, Mexico",direct,24.32392,-99.9141
MK 45.149,Miloš Kaplan,thelocactus conothelos v. aurantiacus,"North of Zaragoza, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Zaragoza, Nuevo Leon, Mexico",direction_only,24.8514442,-99.5584592
MK 46.150,Miloš Kaplan,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Aramberri, Nuevo Leon, Mexico",direct,24.2217256,-99.9241345
MK 87.321,Miloš Kaplan,thelocactus conothelos v. macdowellii,"Arteaga, Coahuila, Mexico",NA,NA,NA,bcss,"Arteaga, Coahuila, Mexico",direct,25.3453685,-100.6831723
MK 88.320,Miloš Kaplan,thelocactus conothelos,"Tula, Tamaulipas, Mexico",NA,NA,NA,bcss,"Tula, Tamaulipas, Mexico",direct,22.9478816,-99.8055882
MMR 190,Milan Majer,thelocactus conothelos,"La Perdida, Tamaulipas, Mexico",NA,NA,NA,bcss,"La Perdida, Tamaulipas, Mexico",direct,23.5459106,-99.858352
MMR 190.1,Milan Majer,thelocactus conothelos,"San Antonio de Peña Nevada, Nuevo León, Mexico",NA,NA,NA,bcss,"San Antonio de Peña Nevada, Nuevo León, Mexico",direct,23.7458279,-99.9802958
MMR 191,Milan Majer,thelocactus conothelos,"South of Palmillas, Tamaulipas, Mexico",NA,NA,NA,bcss,"Palmillas, Tamaulipas, Mexico",direction_only,23.2634256,-99.5861891
MZ 1447,Milan Zachar,thelocactus conothelos,"San Antonio de Pena Nevada, Nuevo Leon, Mexico",NA,NA,NA,bcss,"San Antonio de Pena Nevada, Nuevo Leon, Mexico",direct,23.7458279,-99.9802958
MZ 1461,Milan Zachar,thelocactus conothelos,"Cruz de Elorza, San Luis Potosi, Mexico",NA,NA,NA,bcss,"Cruz de Elorza, San Luis Potosi, Mexico",direct,23.064709722,-100.872260833
MZ 176,Milan Zachar,thelocactus conothelos,"Miquihuana I, Tamaulipas, Mexico",NA,NA,NA,bcss,"Miquihuana I, Tamaulipas, Mexico",direct,23.574656,-99.7535893
MZ 202,Milan Zachar,thelocactus conothelos v. macdowellii,"Higueras, Coahuila, Mexico",NA,NA,NA,bcss,"Higueras, Coahuila, Mexico",direct,25.6351495,-100.797136
MZ 263,Milan Zachar,thelocactus conothelos,"Miquihuana III, San Luis Potosi, Mexico",NA,NA,NA,bcss,"Miquihuana III, San Luis Potosi, Mexico",direct,22.71349,-99.50104
MZ 3B,Milan Zachar,thelocactus conothelos v. aurantiacus,"Aramberri, Nuevo Leon, Mexico",NA,NA,NA,bcss,"Aramberri, Nuevo Leon, Mexico",direct,24.2217256,-99.9241345
