field_number,collector,species,locality,altitude,date,notes,source,geocode_query,geocode_type,lat,lon
GC 674.05,Graham Charles,pilosocereus pachycladus,East of Mato Verde,NA,NA,NA,bcss,Mato Verde,direction_only,-15.3942731,-42.8624286
GC 675.02,Graham Charles,pilosocereus pachycladus,Barrocão,NA,NA,NA,bcss,Barrocão,direct,-16.6028259,-43.2810367
GC 678.06,Graham Charles,pilosocereus pachycladus,West of Pedra Azul,NA,NA,NA,bcss,Pedra Azul,direction_only,-16.0058567,-41.2793731
GC 685.05,Graham Charles,pilosocereus pachycladus,Sussuarana,NA,NA,NA,bcss,Sussuarana,direct,-14.1598189,-41.2063284
GD 102-4,Gérard Delanoy,pilosocereus pachycladus,"Serra Obscura, East of Sussuarana, Bahia, Brazil",NA,NA,NA,bcss,"Serra Obscura, East of Sussuarana, Bahia, Brazil",direct,-12.939117,-38.4356201
GD 22-2,Gérard Delanoy,pilosocereus pachycladus,"BA426, South-West Morro de Chapeu, Bahia, Brazil",NA,NA,NA,bcss,"BA426, South-West Morro de Chapeu, Bahia, Brazil",direct,-11.413952294298,-41.038974000258
GD 22-5,Gérard Delanoy,pilosocereus pachycladus,"Road leaving BR052, returning towards Morro de Chapeu, Bahia, Brazil",NA,NA,NA,bcss,"Road leaving BR052, returning towards Morro de Chapeu, Bahia, Brazil",direct,-11.5487212,-41.1596058
GD 24-8,Gérard Delanoy,pilosocereus pachycladus,"BA426, South-West Morro de Chapeu, Bahia, Brazil",NA,NA,NA,bcss,"BA426, South-West Morro de Chapeu, Bahia, Brazil",direct,-11.413952294298,-41.038974000258
GD 27-3,Gérard Delanoy,pilosocereus pachycladus,"Lagedo Bordado, North Morro de Chapeu, Bahia, Brazil",NA,NA,NA,bcss,"Lagedo Bordado, North Morro de Chapeu, Bahia, Brazil",direct,-11.5487212,-41.1596058
GD 28-2,Gérard Delanoy,pilosocereus pachycladus,"Lagedo Bordado, North Morro de Chapeu, Bahia, Brazil",NA,NA,NA,bcss,"Lagedo Bordado, North Morro de Chapeu, Bahia, Brazil",direct,-11.5487212,-41.1596058
GD 47a-3,Gérard Delanoy,pilosocereus pachycladus,"Palmeira dos Mendes, 55km before Seabra, Bahia, Brazil",NA,NA,NA,bcss,"Palmeira dos Mendes, 55km before Seabra, Bahia, Brazil",direct,-12.416977077701,-41.778965783414
GD 47b-2,Gérard Delanoy,pilosocereus pachycladus,"Palmeira dos Mendes, 55km before Seabra, Bahia, Brazil",NA,NA,NA,bcss,"Palmeira dos Mendes, 55km before Seabra, Bahia, Brazil",direct,-12.416977077701,-41.778965783414
GD 51-4,Gérard Delanoy,pilosocereus pachycladus,"15km North of Porto-Novo, Bahia, Brazil",NA,NA,NA,bcss,"Porto-Novo, Bahia, Brazil",offset_adjusted,-13.02247395911219,-43.8707923
GD 54-2,Gérard Delanoy,pilosocereus pachycladus,"20km South of Iulu, Bahia, Brazil",NA,NA,NA,bcss,"Iulu, Bahia, Brazil",offset_adjusted,-12.655175649707747,-41.721435781216
GD 57-3,Gérard Delanoy,pilosocereus pachycladus,"BR030, 5km after Guanambi, Bahia, Brazil",NA,NA,NA,bcss,"BR030, 5km after Guanambi, Bahia, Brazil",direct,-14.159763988182,-42.686602036788
GD 58-2,Gérard Delanoy,pilosocereus pachycladus,"South of Caitité, road towards Brejinho das Amethystas, Bahia, Brazil",NA,NA,NA,bcss,"Caitité, road towards Brejinho das Amethystas, Bahia, Brazil",direction_only,-14.26361,-42.52667
GD 59-3,Gérard Delanoy,pilosocereus pachycladus,"Brejinho das Amethystas, Bahia, Brazil",NA,NA,NA,bcss,"Brejinho das Amethystas, Bahia, Brazil",direct,-14.26361,-42.52667
GD 60-4,Gérard Delanoy,pilosocereus pachycladus,"after Jurema, Bahia, Brazil",NA,NA,NA,bcss,"after Jurema, Bahia, Brazil",direct,-14.8641857,-40.8479423
GD 64-3,Gérard Delanoy,pilosocereus pachycladus,"5km after GD63, Minas Gerais, Brazil",NA,NA,NA,bcss,"5km after GD63, Minas Gerais, Brazil",direct,-18.456295297924,-44.673412162104
GH 118,Gerhard Heimken,pilosocereus pachycladus,"Mato Verde to Rio Pardo de Minas, Minas Gerais, Brazil",1981/08,1981/08,NA,bcss,"Mato Verde to Rio Pardo de Minas, Minas Gerais, Brazil",direct,-15.40137,-42.3101249
GH 134a,Gerhard Heimken,pilosocereus pachycladus,"Lecinho de Almerida to Caetité, Bahia, Brazil",1981/08/17,1981/08/17,NA,bcss,"Lecinho de Almerida to Caetité, Bahia, Brazil",direct,-14.061480512785,-42.485424420069
GJA 7.13,Gérard Ardisson,pilosocereus pachycladus,"America Dourada, Bahia, Brazil",May-07,May-07,NA,bcss,"America Dourada, Bahia, Brazil",direct,-11.3998963,-41.5247219
GJA 7.37,Gérard Ardisson,pilosocereus pachycladus,"Morro do Chapeu, Bahia, Brazil",May-07,May-07,NA,bcss,"Morro do Chapeu, Bahia, Brazil",direct,-11.5500293,-41.1570248
HU 147,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus ssp. pachycladus,"North of Serra do Cabral, Minas Gerais, Brazil",9/9/1985,9/9/1985,= P. glaucescens?,bcss,"Serra do Cabral, Minas Gerais, Brazil",direction_only,-17.8281736,-44.4125697
HU 1756,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus ssp. pernambucoensis,"Alto Alegre, Piaui, Brazil",NA,NA,NA,bcss,"Alto Alegre, Piaui, Brazil",direct,-5.0404731,-42.8239201
HU 1944,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"behind Cabeluda, Bahia, Brazil","= AH436, GC367.04","= AH436, GC367.04","= AH436, GC367.04",bcss,"behind Cabeluda, Bahia, Brazil",direct,-9.9783,-41.345
HU 402,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"Municipio Espinosa, Minas Gerais, Brazil",NA,NA,NA,bcss,"Municipio Espinosa, Minas Gerais, Brazil",direct,-14.9232007,-42.8093337
HU 421,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"Brejinho das Amethistas, Bahia, Brazil",NA,NA,NA,bcss,"Brejinho das Amethistas, Bahia, Brazil",direct,-14.26361,-42.52667
HU 421a,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"Minas Gerais and Bahia, Brazil",NA,NA,NA,bcss,"Minas Gerais and Bahia, Brazil",direct,-12.150609169664,-38.420225583066
HU 477,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus ssp. pernambucoensis,"Parnamirim road, BR 232, Pernambuco, Brazil",1985,1985,NA,bcss,"Parnamirim road, BR 232, Pernambuco, Brazil",direct,-8.0911653,-39.5790136
HU 714,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"18 km East of Rio Sao Joao, Minas Gerais, Brazil",5/9/1985,5/9/1985,= P. cyaneus according to DW,bcss,"Rio Sao Joao, Minas Gerais, Brazil",offset_adjusted,-20.571923273534004,-46.64833193122506
HU 891,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"MucugÍ, Bahia, Brazil",NA,NA,NA,bcss,"MucugÍ, Bahia, Brazil",direct,-13.0090975,-41.3717267
HU 906,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus,"Seabra, Bahia, Brazil",NA,NA,NA,bcss,"Seabra, Bahia, Brazil",direct,-12.4172071,-41.772051
HU 921,"Leopoldo Horst,, later, Kurt-Ingo Horst",pilosocereus pachycladus ssp. pernambucoensis,"Tanquinho, Bahia, Brazil",NA,NA,NA,bcss,"Tanquinho, Bahia, Brazil",direct,-11.9747061,-39.1057638
MZ 1632,Milan Zachar,pilosocereus pachycladus,"Stop II, Mato Verde Minas Gerais, Brazil",NA,NA,NA,bcss,"Stop II, Mato Verde Minas Gerais, Brazil",direct,-15.4027219,-42.8676665
NPT 1375,Nigel Paul Taylor,pilosocereus pachycladus,"Maçaroca to Barrinha, border with Municipio Juazeiro towards Senhor do Bonfim, Bahia, Brazil",470m,8/1/1991,NA,bcss,"Maçaroca to Barrinha, border with Municipio Juazeiro towards Senhor do Bonfim, Bahia, Brazil",direct,-10.4636445,-40.179723
NPT 1398,Nigel Paul Taylor,pilosocereus pachycladus,"Jocobina w 27-28km towards Lajes, Bahia, Brazil",12/1/1991,12/1/1991,NA,bcss,"Jocobina w 27-28km towards Lajes, Bahia, Brazil",direct,-8.95,-39.13333
NPT 1400,Nigel Paul Taylor,pilosocereus pachycladus,"Jocobina w 27km towards Lajes, Bahia, Brazil",12/1/1991,12/1/1991,NA,bcss,"Jocobina w 27km towards Lajes, Bahia, Brazil",direct,-8.95,-39.13333
NPT 1406,Nigel Paul Taylor,pilosocereus pachycladus,"Morro do Chapeu w 21km, Bahia, Brazil",13/1/1991,13/1/1991,NA,bcss,"Morro do Chapeu w 21km, Bahia, Brazil",direct,-11.057196995736,-40.78674796074
NPT 1426,Nigel Paul Taylor,pilosocereus pachycladus,"Santana s 28km, Bahia, Brazil",530m,15/1/1991,NA,bcss,"Santana s 28km, Bahia, Brazil",direct,-12.1314838,-45.0120168
RITT 1223,Friedrich Ritter,pilosocereus pachycladus,"Urandi, Bahia, Brazil",seed,seed,seed,bcss,"Urandi, Bahia, Brazil",direct,-14.7680766,-42.6573988
RITT 1223,Friedrich Ritter,pilosocereus pachycladus,"Below Monte Azul, Minas Gerais, Brazil",seed,seed,seed,bcss,"Below Monte Azul, Minas Gerais, Brazil",direct,-15.1586422,-42.8676262
RITT 1290,Friedrich Ritter,pilosocereus pachycladus,Brazil,= FR1223,= FR1223,= FR1223,bcss,Brazil,direct,-10.3333333,-53.2
RWB 464,Rudi Werner Büneker,pilosocereus pachycladus,Brazil,NA,NA,NA,bcss,Brazil,direct,-10.3333333,-53.2
