field_number,collector,species,locality,date,notes
LRM 228,"Living Rocks of Mexico. Now Geoff Bailey, John Miller, previously also David (Dave) Rushforth.",Ariocarpus fissuratus  v. intermedius,"Estation Marte, Coahuila, Mexicó",23/06/09,NA
B 15491,Lyman Benson,Ariocarpus fissuratus,"South of Alpine, Texas, USA",NA,NA
BENSON 15491,Lyman Benson,Ariocarpus fissuratus,"South of Alpine, Texas, USA",NA,NA
MMR 4,Milan Majer,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Parras),NA,NA
MMR 4.3,Milan Majer,Ariocarpus fissuratus  v. intermedius - lloydii,Mexicó : Coahuila (Cerro Bola),NA,NA
MMR 4.4,Milan Majer,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (El Amparo),NA,NA
MMR 4.5,Milan Majer,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Estanque de Menchaca),NA,NA
MMR 4.6,Milan Majer,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Estanque de Menchaca),NA,NA
MMR 5,Milan Majer,Ariocarpus fissuratus,Mexicó : Coahuila (Cuatrocienegas),NA,NA
MMR 5.2,Milan Majer,Ariocarpus fissuratus  v. intermedius,Mexicó : Coahuila (El Hundido),NA,NA
MMR 6,Milan Majer,Ariocarpus fissuratus  v. hintonii,Mexicó : San Luis Potosi (Palmas),NA,NA
MMR 6,Milan Majer,Ariocarpus fissuratus  v. hintonii,Mexicó : San Luis Potosi (Matehuala),NA,NA
MMR 9.1,Milan Majer,Ariocarpus fissuratus,Mexicó : Coahuila (West of Ocampo),NA,NA
MMR 9.2,Milan Majer,Ariocarpus fissuratus,"Mexicó : Coahuila (West of Ocampo,  20km West of MMR 9.1)",NA,NA
MMR 33,Milan Majer,"Ariocarpus fissuratus  f. intermedius ""pailanus""","Mexicó : Coahuila (Est. Marté, Sierra Paila)",NA,NA
MZ 27,Milan Zachar,Ariocarpus fissuratus  v. lloydii,"Sierra de Parras, Coahuila, Mexicó",NA,NA
MZ 118,Milan Zachar,Ariocarpus fissuratus  v. lloydii,"Cerro Bola, Coahuila, Mexicó",NA,NA
MZ 127,Milan Zachar,Ariocarpus fissuratus,"Cuatro Cienegas, Coahuila, Mexicó",NA,NA
MZ 245,Milan Zachar,Ariocarpus fissuratus  f. intermedius,"Sierra de la Paila, Coahuila, Mexicó",NA,NA
MZ 402,Milan Zachar,Ariocarpus fissuratus  v. hintonii,"Matehuala III, San Luis Potosi, Mexicó",NA,NA
MZ 891,Milan Zachar,Ariocarpus fissuratus  v. hintonii,"El Herrero, San Luis Potosi, Mexicó",NA,NA
MZ 913,Milan Zachar,Ariocarpus fissuratus  v. lloydii,"El Amparo, Coahuila, Mexicó",NA,NA
MZ 1102,Milan Zachar,Ariocarpus fissuratus  v. hintonii,"Palmas II, San Luis Potosi, Mexicó",NA,NA
MZ 1297,Milan Zachar,Ariocarpus fissuratus,"Boquillas del Carmen, Coahuila, Mexicó",NA,NA
MZ 1413,Milan Zachar,Ariocarpus fissuratus  f. intermedius,Mexicó : Coahuila (Sierra de la Paila III),NA,NA
MK 26.68,Miloš Kaplan,Ariocarpus fissuratus  v. lloydii,Mexicó : Coahuila (Villa Real),NA,NA
MK 29.99,Miloš Kaplan,Ariocarpus fissuratus,"Cuatrocienegas, Coahuila, Mexicó",NA,NA
MK 30.111,Miloš Kaplan,Ariocarpus fissuratus,"West of Cuatrocienegas, Coahuila, Mexicó",NA,NA
MK 90.288,Miloš Kaplan,Ariocarpus fissuratus  v. hintonii,"South of Matehuala, San Luis Potosi, Mexicó",NA,NA
MK 148.441,Miloš Kaplan,Ariocarpus fissuratus,"Jose Maria Morelos, Coahuila, Mexicó",NA,NA
KMR 72B,Miroslav Kupčák,Ariocarpus fissuratus  / lloydii complex,"El Pozo, East of Viesca, Coahuila, Mexicó",27/06/09,a. 'intermedius'
KMR 72A,Miroslav Kupčák,Ariocarpus fissuratus  / lloydii complex,"La Pena, East of Viesca, Coahuila, Mexicó",27/06/09,a. 'intermedius'
KMR 72,Miroslav Kupčák,Ariocarpus fissuratus  / lloydii complex,"El Amparo, East of Viesca, Coahuila, Mexicó",27/06/09,a. 'intermedius'
KMR 76A,Miroslav Kupčák,Ariocarpus fissuratus ssp. pailanus,"Las Liebres to Sierra de la Paila, Sierra de la Paila, Coahuila, Mexicó",27/06/09,NA
KMR 76,Miroslav Kupčák,Ariocarpus fissuratus ssp. pailanus,"Estancion Marte to Sierra de la Paila, Coahuila, Mexicó",27/06/09,NA
KMR 76B,Miroslav Kupčák,Ariocarpus fissuratus ssp. pailanus,Mexicó : Coahuila (Zona de Minas to Sierra de la Paila),27/06/09,NA
